"position","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11"
0.462983,73,39.5,69.25,28.75,-1098.75,128.75,82.25,77,61,67.25,53
0.464407,73,39,68.5,28.5,-953.5,135.5,82.5,77,61,67.5,53
0.465832,73,38.5,67.75,28.25,-808.25,142.25,82.75,77,61,67.75,53
0.467257,73,38,67,28,-663,149,83,77,61,68,53
0.4687,73,38.5,67.25,28.25,-585.25,159.5,83,76.75,60.75,67.75,53
0.470143,73,39,67.5,28.5,-507.5,170,83,76.5,60.5,67.5,53
0.471585,73,39.5,67.75,28.75,-429.75,180.5,83,76.25,60.25,67.25,53
0.473028,73,40,68,29,-352,191,83,76,60,67,53
0.474453,73,40,68.5,29,-310,206,82.75,76.25,60.75,66.75,53.25
0.475878,73,40,69,29,-268,221,82.5,76.5,61.5,66.5,53.5
0.477303,73,40,69.5,29,-226,236,82.25,76.75,62.25,66.25,53.75
0.478727,73,40,70,29,-184,251,82,77,63,66,54
0.480134,73,40.25,70.25,29.25,-159.75,275,82.25,76.75,63,66,54
0.481541,73,40.5,70.5,29.5,-135.5,299,82.5,76.5,63,66,54
0.482947,73,40.75,70.75,29.75,-111.25,323,82.75,76.25,63,66,54
